amp,ROI,position,subject
0,0,0,0
0,0,0,0
0.567100956950231,1,4,8
0,0,0,0
0,0,0,0
0,0,0,0
0.513240562679645,1,4,9
0,0,0,0
0,0,0,0
0,0,0,0
0.535188539816218,2,4,1
0,0,0,0
0,0,0,0
0,0,0,0
0.948673123755662,2,4,2
0,0,0,0
0,0,0,0
0,0,0,0
0.486298777167333,2,4,3
0,0,0,0
0,0,0,0
0,0,0,0
0.762311262765,2,4,4
0,0,0,0
0,0,0,0
0,0,0,0
0.218894952926248,2,4,5
0,0,0,0
0,0,0,0
0,0,0,0
0.828992809106491,2,4,6
0,0,0,0
0,0,0,0
0,0,0,0
0.371844642015582,2,4,7
0,0,0,0
0,0,0,0
0,0,0,0
0.645017659053663,2,4,8
0,0,0,0
0,0,0,0
0,0,0,0
0.536170135461604,2,4,9
0,0,0,0
0,0,0,0
0,0,0,0
0.733567660557392,3,4,1
0,0,0,0
0,0,0,0
0,0,0,0
0.981765746327487,3,4,2
0,0,0,0
0,0,0,0
0,0,0,0
0.298639007508708,3,4,3
0,0,0,0
0,0,0,0
0,0,0,0
0.881624111622084,3,4,4
0,0,0,0
0,0,0,0
0,0,0,0
0.288644406242738,3,4,5
0,0,0,0
0,0,0,0
0,0,0,0
0.803955443549498,3,4,6
0,0,0,0
0,0,0,0
0,0,0,0
0.207254906496678,3,4,7
0,0,0,0
0,0,0,0
0,0,0,0
0.884208417557665,3,4,8
0,0,0,0
0,0,0,0
0,0,0,0
0.317070836664188,3,4,9
0,0,0,0
0,0,0,0
0,0,0,0
0.458314664331135,4,4,1
0,0,0,0
0,0,0,0
0,0,0,0
0.834580397443902,4,4,2
0,0,0,0
0,0,0,0
0,0,0,0
0.375067015336146,4,4,3
0,0,0,0
0,0,0,0
0,0,0,0
1.02402460625554,4,4,4
0,0,0,0
0,0,0,0
0,0,0,0
0.449127408705205,4,4,5
0,0,0,0
0,0,0,0
0,0,0,0
0.477893484844322,4,4,6
0,0,0,0
0,0,0,0
0,0,0,0
0.272869704337147,4,4,7
0,0,0,0
0,0,0,0
0,0,0,0
0.434375952547585,4,4,8
0,0,0,0
0,0,0,0
0,0,0,0
0.254935000508057,4,4,9
0,0,0,0
0,0,0,0
0,0,0,0
0.715404072106444,5,4,1
0,0,0,0
0,0,0,0
0,0,0,0
0.862553224587387,5,4,2
0,0,0,0
0,0,0,0
0,0,0,0
0.170702469441981,5,4,3
