base,ROI,position,subject
0.0635000494193382,6,4,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.0916579816845586,6,4,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.0744362005906076,6,4,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.176193585800242,6,4,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.203623713666953,6,4,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.308656893990918,6,4,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.0213174072511408,6,4,9
0,0,0,0
0,0,0,0
0,0,0,0
0.00334552640770134,7,4,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.291290044023308,7,4,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.190544740819316,7,4,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.266765050645254,7,4,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.147257001749173,7,4,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.127043065503201,7,4,6
0,0,0,0
0,0,0,0
0,0,0,0
0.0273425059882204,7,4,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.0425309647916621,7,4,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.0299680398332468,7,4,9
0,0,0,0
0,0,0,0
0,0,0,0
0.03648492259415,8,4,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.0933494612726679,8,4,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.104252155239916,8,4,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.124025580642437,8,4,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.066860398867221,8,4,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.174590645189781,8,4,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.201518102216468,8,4,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.411699013747005,8,4,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.123248878838128,8,4,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.00127857864153755,9,4,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.328712181952522,9,4,2
0,0,0,0
0,0,0,0
0,0,0,0
0.118283138839794,9,4,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.194230741768257,9,4,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.138735485426138,9,4,5
0,0,0,0
0,0,0,0
0,0,0,0
